issn_scielo	year	scopus_id	citescore	sjr	sjr_best_quartile	cites_by_doc_2years	h_index	snip	ipp
1850-373X	2012	19900191915	0.17	0.201	Q2	0.17	6	0.39955449502341	0.133333333333333
1850-373X	2013	19900191915	0.14	0.121	Q3	0.16	6	0.193281867064708	0.104166666666667
1850-373X	2014	19900191915	0.36	0.333	Q2	0.5	6	0.771036165207164	0.348484848484849
1850-373X	2015	19900191915	0.37	0.299	Q2	0.16	6	0.7136613709965	0.345679012345679
1850-373X	2016	19900191915	0.4	0.297	Q2	0.4	6	0.480037376197146	0.362637362637363
0327-0793	1999	24740		0.152	Q3	0.1	19	0.192258509807488	0.152542372881356
0327-0793	2000	24740		0.12	Q3	0.18	19	0.271697078183233	0.130841121495327
0327-0793	2001	24740		0.12	Q3	0.11	19	0.213744534070268	0.0975609756097561
0327-0793	2002	24740		0.21	Q2	0.18	19	0.295959558310812	0.148148148148148
0327-0793	2003	24740		0.234	Q2	0.22	19	0.275312199142109	0.203389830508475
0327-0793	2004	24740		0.18	Q2	0.3	19	0.423210726387194	0.258536585365854
0327-0793	2005	24740		0.263	Q2	0.25	19	0.287892465429452	0.212121212121212
0327-0793	2006	24740		0.208	Q2	0.22	19	0.338834249297982	0.22360248447205
0327-0793	2007	24740		0.185	Q2	0.32	19	0.41027784435989	0.27007299270073
0327-0793	2008	24740		0.256	Q2	0.42	19	0.477837824017768	0.361111111111111
0327-0793	2009	24740		0.227	Q2	0.33	19	0.425553475753048	0.298611111111111
0327-0793	2010	24740		0.157	Q3	0.21	19	0.277862969964917	0.191780821917808
0327-0793	2011	24740		0.146	Q3	0.32	19	0.498159379028869	0.296875
0327-0793	2012	24740		0.166	Q3	0.46	19	0.281084881926954	0.311258278145695
0327-0793	2013	24740		0.143	Q4	0.31	19	0.439167248894032	0.28448275862069
0327-0793	2014	24740		0.152	Q3	0.76	19	0.615417333332413	0.454545454545455
0327-0793	2015	24740		0.13	Q4	0	19	0.577708779884015	0.352941176470588
0327-9383	2009	12100157102		0.156	Q4	0.28	10	0.291655374098201	0.09375
0327-9383	2010	12100157102		0.165	Q4	0.35	10	0.113095132868307	0.192771084337349
0327-9383	2011	12100157102	0.3	0.204	Q4	0.33	10	0.313943323313695	0.32
0327-9383	2012	12100157102	0.42	0.3	Q3	0.47	10	0.500971563380614	0.453781512605042
0327-9383	2013	12100157102	0.45	0.278	Q3	0.57	10	0.507392107142699	0.534883720930233
0327-9383	2014	12100157102	0.49	0.263	Q3	0.8	10	0.661535695200438	0.557377049180328
0327-9383	2015	12100157102	0.67	0.388	Q2	1.31	10	0.945333659611073	0.912280701754386
0327-9383	2016	12100157102	0.6	0.381	Q2	0.72	10	0.487609930404404	0.628571428571429
0025-7680	1999	18367		0.15	Q2	0.21	27	0.189131870632731	0.22887323943662
0025-7680	2000	18367		0.161	Q2	0.33	27	0.250417772044054	0.293577981651376
0025-7680	2001	18367		0.176	Q2	0.35	27	0.326377429888114	0.370056497175141
0025-7680	2002	18367		0.165	Q2	0.27	27	0.24518781708592	0.313513513513514
0025-7680	2003	18367		0.156	Q2	0.34	27	0.258177089579743	0.321543408360129
0025-7680	2004	18367		0.177	Q2	0.39	27	0.256890450680377	0.383333333333333
0025-7680	2005	18367		0.154	Q2	0.35	27	0.254878383756116	0.314553990610329
0025-7680	2006	18367		0.158	Q2	0.34	27	0.219789646316375	0.317972350230415
0025-7680	2007	18367		0.136	Q3	0.3	27	0.178130044375792	0.267489711934156
0025-7680	2008	18367		0.164	Q2	0.33	27	0.164684157761893	0.254480286738351
0025-7680	2009	18367		0.158	Q3	0.36	27	0.349273528332231	0.37593984962406
0025-7680	2010	18367		0.2	Q2	0.46	27	0.233766894964537	0.346153846153846
0025-7680	2011	18367	0.32	0.177	Q3	0.44	27	0.288591374414215	0.443946188340807
0025-7680	2012	18367	0.34	0.189	Q3	0.41	27	0.229897127785355	0.395348837209302
0025-7680	2013	18367	0.36	0.158	Q3	0.43	27	0.252453835299416	0.390557939914163
0025-7680	2014	18367	0.29	0.181	Q3	0.49	27	0.24570494959219	0.376569037656904
0025-7680	2015	18367	0.29	0.194	Q3	0.47	27	0.30944677338539	0.454545454545455
0025-7680	2016	18367	0.26	0.166	Q3	0.34	27	0.373889456368274	0.391891891891892
1851-5657	1999	16555		0.128	Q4	0.06	11	0.134570666880339	0.0723684210526316
1851-5657	2000	16555		0.123	Q4	0.09	11	0.106390431346661	0.0833333333333333
1851-5657	2001	16555		0.106	Q4	0.02	11	0.0756538238579134	0.0517241379310345
1851-5657	2002	16555		0.106	Q4	0.05	11	0.109452055826852	0.104166666666667
1851-5657	2003	16555		0.101	Q4	0	11	0	0
1851-5657	2007	16555		0.101	Q4	0.07	11	0	0
1851-5657	2008	16555		0.112	Q4	0.1	11	0.0309160305343511	0.0333333333333333
1851-5657	2009	16555		0.158	Q4	0.14	11	0.230794412346268	0.160714285714286
1851-5657	2010	16555		0.106	Q4	0.21	11	0.0822153697959545	0.106060606060606
1851-5657	2011	16555	0.24	0.158	Q4	0.27	11	0.164178230248571	0.226666666666667
1851-5657	2012	16555	0.36	0.22	Q4	0.28	11	0.547220292629641	0.341463414634146
1851-5657	2013	16555	0.31	0.166	Q4	0.23	11	0.389309680244066	0.319148936170213
1851-5657	2014	16555	0.19	0.144	Q4	0.14	11	0.244721979152987	0.172727272727273
1851-5657	2015	16555	0.18	0.135	Q4	0.15	11	0.239455041487631	0.1953125
1851-5657	2016	16555	0.28	0.156	Q4	0.23	11	0.223664709409514	0.264900662251656
1852-8562	2016	21100447821	0	0.103	Q4	0		0	0
1851-2879	2013	21100227421	0	0.104	Q3	0	1	0	0
1851-2879	2014	21100227421	0	0.102	Q3	0	1	0	0
1851-2879	2015	21100227421	0.04	0.101	Q3	0.07	1	0	0
1851-2879	2016	21100227421	0.14	0.101	Q4	0.14	1	1.13392857142857	0.107142857142857
1669-2314	2015	21100395706	0.05	0.102	Q4	0.08	1	0.0350125877122503	0.0714285714285714
1669-2314	2016	21100395706	0.07	0.131	Q4	0.08	1	0.0801377636546347	0.0714285714285714
1850-3748	2009	78240		0.114	Q4	0.11	8	0.0202400410285769	0.0666666666666667
1850-3748	2010	78240		0.107	Q4	0.15	8	0.0167545810474836	0.0384615384615385
1850-3748	2011	78240	0.09	0.11	Q4	0.19	8	0.0817423140546792	0.0813953488372093
1850-3748	2012	78240	0.08	0.111	Q4	0.11	8	0.0558696495585217	0.0518867924528302
1850-3748	2013	78240	0.1	0.112	Q4	0.17	8	0.0940201166379718	0.109090909090909
1850-3748	2014	78240	0.06	0.137	Q4	0.18	8	0.151126304086631	0.12037037037037
1850-3748	2015	78240	0.1	0.131	Q4	0.23	8	0.134607261294755	0.157303370786517
1850-3748	2016	78240	0.09	0.132	Q4	0.23	8	0.160538648577854	0.162650602409639
1851-3034	2000	26700		0.111	Q4	0.05	9		
1851-3034	2001	26700		0.101	Q4	0	9	0	0
1851-3034	2002	26700		0.107	Q4	0.04	9	0	0
1851-3034	2003	26700		0.187	Q3	0.09	9	0.18543956043956	0.173076923076923
1851-3034	2004	26700		0.188	Q3	0.5	9	0.246187936902684	0.354838709677419
1851-3034	2005	26700		0.195	Q3	0.53	9	0.166243759547751	0.421052631578947
1851-3034	2006	26700		0.164	Q3	0.69	9	0.232560296846011	0.612244897959184
1851-3034	2007	26700		0.107	Q4	0.03	9	0.0246055568982228	0.0545454545454545
1851-3034	2008	26700		0.106	Q4	0.02	9	0.0693598837551434	0.0350877192982456
1851-3034	2009	26700		0.19	Q3	0.35	9	0.251238126009387	0.442622950819672
1851-3034	2010	26700		0.115	Q4	0.02	9	0.0235547614042464	0.0298507462686567
1851-3034	2011	26700	0.05	0.138	Q3	0.03	9	0.107195073761855	0.0923076923076923
1851-3034	2012	26700	0.04	0.109	Q4	0.05	9	0.0637583387414566	0.0555555555555556
1851-3034	2013	26700	0.13	0.132	Q4	0.16	9	0.163050599564785	0.151515151515152
1851-3034	2014	26700	0.24	0.123	Q4	0.26	9	0.146420205941445	0.214285714285714
1851-3034	2015	26700	0.14	0.152	Q4	0.26	9	0.190588648766443	0.205882352941176
1851-3034	2016	26700	0.14	0.114	Q4	0.09	9	0.197765882826824	0.140845070422535
0325-7541	1999	20365		0.155	Q3	0.15	20		
0325-7541	2000	20365		0.141	Q3	0.17	20		
0325-7541	2001	20365		0.157	Q3	0.18	20	0	0
0325-7541	2002	20365		0.161	Q3	0.16	20	0.144133673532937	0.107142857142857
0325-7541	2003	20365		0.176	Q3	0.32	20	0.2894251430034	0.301075268817204
0325-7541	2004	20365		0.178	Q3	0.38	20	0.444890548834285	0.408695652173913
0325-7541	2005	20365		0.18	Q3	0.3	20	0.207902574405364	0.338983050847458
0325-7541	2006	20365		0.182	Q3	0.37	20	0.316633760151671	0.390243902439024
0325-7541	2007	20365		0.211	Q3	0.47	20	0.330099656500977	0.428571428571429
0325-7541	2008	20365		0.24	Q3	0.34	20	0.32983834533803	0.478991596638655
0325-7541	2009	20365		0.177	Q3	0.41	20	0.347680891049377	0.401639344262295
0325-7541	2010	20365		0.214	Q3	0.59	20	0.49346114376675	0.528
0325-7541	2011	20365	0.52	0.217	Q3	0.54	20	0.391542419443441	0.510489510489511
0325-7541	2012	20365	0.58	0.259	Q3	0.58	20	0.486211994488905	0.626760563380282
0325-7541	2013	20365	0.65	0.262	Q3	0.81	20	0.456604180193621	0.664429530201342
0325-7541	2014	20365	0.85	0.369	Q3	0.99	20	0.664258578512606	1
0325-7541	2015	20365	0.61	0.325	Q3	0.48	20	0.456285720845974	0.61437908496732
0325-7541	2016	20365	0.44	0.227	Q3	0.48	20	0.274001521154428	0.465408805031447
1852-9992	2014	21100317415	0	0.101	Q4	0	1	0	0
1852-9992	2015	21100317415	0.01	0.1	Q4	0.02	1	0.00328947368421053	0.0208333333333333
1852-9992	2016	21100317415	0.04	0.134	Q4	0.06	1	0.0413913984566158	0.051948051948052
0004-4822	1999	24663		0.315	Q2	0.24	30	0.441378594317543	0.282258064516129
0004-4822	2000	24663		0.287	Q2	0.27	30	0.523669058095372	0.31496062992126
0004-4822	2001	24663		0.259	Q3	0.24	30	0.634828166258304	0.302521008403361
0004-4822	2002	24663		0.381	Q2	0.3	30	0.486788587117648	0.336
0004-4822	2003	24663		0.412	Q2	0.46	30	0.671502090214408	0.47244094488189
0004-4822	2004	24663		0.365	Q2	0.38	30	0.824548285689801	0.457746478873239
0004-4822	2005	24663		0.44	Q2	0.36	30	0.632605683957999	0.449704142011834
0004-4822	2006	24663		0.289	Q2	0.27	30	0.345511145277771	0.333333333333333
0004-4822	2007	24663		0.538	Q2	0.33	30	0.412964723259079	0.346733668341709
0004-4822	2008	24663		0.321	Q2	0.4	30	0.416189755438919	0.407608695652174
0004-4822	2009	24663		0.435	Q2	0.78	30	0.890520584494701	0.641618497109827
0004-4822	2010	24663		0.398	Q2	0.66	30	0.704308387799063	0.623430962343096
0004-4822	2011	24663	0.51	0.468	Q2	0.34	30	0.508109896047361	0.533807829181495
0004-4822	2012	24663	0.54	0.363	Q3	0.37	30	0.42495119106261	0.566666666666667
0004-4822	2013	24663	0.37	0.282	Q3	0.26	30	0.503755588125982	0.418848167539267
0004-4822	2014	24663	0.3	0.219	Q4	0.37	30	0.358159247247405	0.338345864661654
0004-4822	2015	24663	0.34	0.21	Q4	0.35	30	0.287505496702676	0.354609929078014
0004-4822	2016	24663	0.3	0.191	Q4	0.2	30	0.295002570031414	0.297101449275362
2346-8548	2006	144825		0.101	Q4	0	3	0	0
2346-8548	2007	144825		0.1	Q4	0	3	0	0
2346-8548	2008	144825		0.123	Q4	0.05	3	0.0232405756915561	0.0555555555555556
2346-8548	2009	144825		0.11	Q4	0.04	3	0.0473646723646724	0.037037037037037
2346-8548	2010	144825		0.107	Q4	0.02	3	0	0
2346-8548	2011	144825	0.02	0.126	Q4	0.14	3	0.100597402597403	0.109090909090909
2346-8548	2012	144825	0.01	0.101	Q4	0	3	0.00342966669126276	0.0192307692307692
2346-8548	2013	144825	0.02	0.1	Q4	0	3	0	0
2346-8548	2014	144825	0.02	0.103	Q4	0	3	0.0252880921895006	0.0303030303030303
2346-8548	2015	144825	0.02	0.101	Q4	0.03	3	0.00829493087557604	0.0238095238095238
2346-8548	2016	144825	0.05	0.101	Q4	0.09	3	0.0342615216109192	0.0454545454545455
1669-6840	2008	7200153136		0.101	Q4	0.03	4	0	0
1669-6840	2009	7200153136		0.188	Q3	0.14	4	0	0
1669-6840	2010	7200153136		0.123	Q4	0.1	4	0.351702375260505	0.113636363636364
1669-6840	2011	7200153136	0.1	0.128	Q4	0.02	4	0.0715457266056066	0.0303030303030303
1669-6840	2012	7200153136	0.05	0.12	Q4	0.04	4	0.0567697529615665	0.0436241610738255
1669-6840	2013	7200153136	0.1	0.118	Q4	0.12	4	0.159126775579683	0.0735785953177258
1669-6840	2014	7200153136	0.03	0.1	Q4	0.03	4	0.0739831037649219	0.0222222222222222
1669-6840	2015	7200153136	0.03	0.107	Q4	0.05	4	0.0135786614855273	0.0333333333333333
1669-6840	2016	7200153136	0.01	0.1	Q4	0.02	4	0.00738641914997557	0.0112359550561798
1666-485X	2009	17900156732		0.102	Q3	0	1	0	0
1666-485X	2010	17900156732		0.101	Q4	0	1	0	0
1666-485X	2011	17900156732	0	0.101	Q4	0.05	1	0	0
1666-485X	2012	17900156732	0	0.101	Q4	0	1	0	0
1666-485X	2013	17900156732	0	0.101	Q4	0	1	0	0
1666-485X	2014	17900156732	0	0.101	Q4	0	1	0	0
1666-485X	2015	17900156732	0	0.101	Q4	0	1	0	0
1666-485X	2016	17900156732	0.07	0.126	Q3	0.06	1	0.1265664160401	0.0740740740740741
1852-4834	1999	17900156732	0.07	0.125	Q2	0.05	13	0.1265664160401	0.0740740740740741
1852-4834	2000	17900156732	0.07	0.107	Q3	0	13	0.1265664160401	0.0740740740740741
1852-4834	2001	17900156732	0.07	0.101	Q4	0	13	0.1265664160401	0.0740740740740741
1852-4834	2002	17900156732	0.07	0.139	Q2	0.06	13	0.1265664160401	0.0740740740740741
1852-4834	2003	17900156732	0.07	0.113	Q3	0	13	0.1265664160401	0.0740740740740741
1852-4834	2004	17900156732	0.07	0.101	Q4	0	13	0.1265664160401	0.0740740740740741
1852-4834	2005	17900156732	0.07	0.142	Q2	0.18	13	0.1265664160401	0.0740740740740741
1852-4834	2006	17900156732	0.07	0.101	Q4	0.06	13	0.1265664160401	0.0740740740740741
1852-4834	2007	17900156732	0.07	0.108	Q3	0.16	13	0.1265664160401	0.0740740740740741
1852-4834	2008	17900156732	0.07	0.154	Q3	0.21	13	0.1265664160401	0.0740740740740741
1852-4834	2009	17900156732	0.07	0.141	Q3	0.28	13	0.1265664160401	0.0740740740740741
1852-4834	2010	17900156732	0.07	0.157	Q3	0.27	13	0.1265664160401	0.0740740740740741
1852-4834	2011	17900156732	0.07	0.238	Q2	0.32	13	0.1265664160401	0.0740740740740741
